Indx,Frequency,dB(Spec),Indx,Frequency,dB(Spec)
154,"0,3259911052","-12,9739412709",154,"0,3163313266","-9,7250021063"
155,"0,3284372976","-12,974495652",155,"0,3182266771","-9,5271066518"
156,"0,3308834901","-12,973567218",156,"0,3201220276","-9,368315254"
157,"0,3333296825","-12,9713155569",157,"0,3220173782","-9,2560417663"
158,"0,335775875","-12,9680378126",158,"0,3242125899","-9,1910612003"
159,"0,3381701185","-12,9642215048",159,"0,3264078017","-9,1992034396"
160,"0,3405643621","-12,960239929",160,"0,3286030134","-9,2784972375"
161,"0,3429586056","-12,9565396475",161,"0,3308473419","-9,4256691045"
162,"0,3453528492","-12,9535366499",162,"0,3330916705","-9,6280486142"
163,"0,3477470927","-12,9515763853",163,"0,335335999","-9,8718309461"
164,"0,3501413363","-12,9509012561",164,"0,3374365968","-10,1250685504"
165,"0,3525355798","-12,9516286492",165,"0,3395371947","-10,3916958391"
166,"0,3549298234","-12,953741497",166,"0,3416377926","-10,6625927922"
167,"0,3573240669","-12,9570920329",167,"0,3437383904","-10,9303163627"
168,"0,3596306142","-12,96124619",168,"0,3458675408","-11,1925018229"
169,"0,3619371614","-12,9659940867",169,"0,3479966913","-11,4409832395"
170,"0,3642437087","-12,9709763066",170,"0,3501258417","-11,6725943801"
171,"0,366550256","-12,9758176455",171,"0,3522549922","-11,8852519237"
172,"0,3688568032","-12,9801590758",172,"0,3545550682","-12,0922956153"
173,"0,3711633505","-12,9836873849",173,"0,3568551443","-12,2751610783"
174,"0,3734698978","-12,9861601478",174,"0,3591552203","-12,433914378"
175,"0,375776445","-12,9874242146",175,"0,3614552964","-12,5691714258"
176,"0,3780829923","-12,9874264898",176,"0,3637553725","-12,681973499"
177,"0,3803895395","-12,9862164015",177,"0,366072034","-12,7742824049"
178,"0,3826773155","-12,9839623383",178,"0,3683886954","-12,846874721"
179,"0,3849650914","-12,9808826975",179,"0,3707053569","-12,9016299938"
180,"0,3872528673","-12,9772622143",180,"0,3730220184","-12,9405874693"
181,"0,3895406433","-12,9734228899",181,"0,3753386799","-12,9659000876"
182,"0,3918284192","-12,9696971978",182,"0,3776553414","-12,9797884651"
183,"0,3941161951","-12,9664006403",183,"0,3799720029","-12,9844923384"
184,"0,3964039711","-12,9638059197",184,"0,3822886644","-12,9822182707"
185,"0,398691747","-12,9621209049",185,"0,3847929058","-12,9743545181"
186,"0,4009795229","-12,9614722814",186,"0,3872971472","-12,963287633"
187,"0,4032672989","-12,9618962837",187,"0,3898013886","-12,9512120589"
188,"0,4055550748","-12,9633372674",188,"0,39230563","-12,9399623313"
189,"0,4080042291","-12,9658454706",189,"0,3948098714","-12,9309527022"
190,"0,4104533835","-12,9690929878",190,"0,3973141128","-12,9251389246"
191,"0,4129025379","-12,972749631",191,"0,3998183542","-12,9230071506"
192,"0,4153516922","-12,9764518026",192,"0,4020550384","-12,9242534166"
193,"0,4178008466","-12,9798381721",193,"0,4042917227","-12,9282186963"
194,"0,4202500009","-12,9825842875",194,"0,4065284069","-12,9344318037"
195,"0,4226991553","-12,9844329337",195,"0,4087650912","-12,9422493148"
196,"0,4251483096","-12,9852175906",196,"0,4110017754","-12,9509083903"
197,"0,427597464","-12,9848770632",197,"0,4132384597","-12,9595811911"
198,"0,4300466183","-12,9834601657",198,"0,4154751439","-12,9674276485"
199,"0,4324957727","-12,981120192",199,"0,4177118281","-12,9736439843"
200,"0,434931706","-12,9781173494",200,"0,4202129018","-12,9777760118"
201,"0,4373676394","-12,9747447137",201,"0,4227139755","-12,9781235763"
202,"0,4398035727","-12,9713413606",202,"0,4252150492","-12,9740690415"
203,"0,442239506","-12,9682498283",203,"0,4277161228","-12,9652519666"
204,"0,4446754394","-12,9657834876",204,"0,4302171965","-12,9515869161"
205,"0,4471113727","-12,9641965739",205,"0,4327182702","-12,933267652"
206,"0,449547306","-12,9636598014",206,"0,4352193439","-12,9107585205"
207,"0,4519832394","-12,9642439813",207,"0,4377204175","-12,8847737176"
208,"0,4544191727","-12,9659132888",208,"0,4399762699","-12,8591247533"
209,"0,4568551061","-12,9685288318",209,"0,4422321222","-12,8322112554"
210,"0,4592910394","-12,971862103",210,"0,4444879746","-12,8049246779"
211,"0,4616765136","-12,9755370468",211,"0,4467438269","-12,7782047582"
212,"0,4640619877","-12,9793010715",212,"0,4489996792","-12,7530000651"
213,"0,4664474619","-12,9828308554",213,"0,4512555316","-12,7302266039"
214,"0,4688329361","-12,985823835",214,"0,4535113839","-12,7107264015"
215,"0,4712184102","-12,9880248593",215,"0,4557672362","-12,6952283162"
216,"0,4736038844","-12,9892484433",216,"0,4580230886","-12,6843134451"
217,"0,4759893586","-12,9893948083",217,"0,4603171099","-12,6783315658"
218,"0,4783748328","-12,9884584424",218,"0,4626111312","-12,6777284657"
219,"0,4807603069","-12,9865285306",219,"0,4649051525","-12,682506989"
220,"0,4831457811","-12,9837812337",220,"0,4671991737","-12,6924546208"
221,"0,4855312553","-12,9804644303",221,"0,469493195","-12,7071567319"
222,"0,4879427127","-12,9768367434",222,"0,4717872163","-12,7260196139"
223,"0,4903541702","-12,9732643138",223,"0,4740812376","-12,7483012089"
224,"0,4927656276","-12,9700747936",224,"0,4763752589","-12,7731470135"
225,"0,4951770851","-12,9675609661",225,"0,4786692802","-12,7996285426"
226,"0,4975885425","-12,9659538202",226,"0,4809633015","-12,8267819314"
227,"0,5","-12,9654011553",227,"0,4833428888","-12,8546286542"
,,,228,"0,4857224761","-12,8811287091"
,,,229,"0,4881020635","-12,9053229275"
,,,230,"0,4904816508","-12,9263561617"
,,,231,"0,4928612381","-12,9435004976"
,,,232,"0,4952408254","-12,9561730425"
,,,233,"0,4976204127","-12,9639488618"
,,,234,"0,5","-12,9665696791"
