Indx,Frequency,dB(Spec),Indx,Frequency,dB(Spec)
89,0.175384565665,-11.2757794706,89,0.169106405374,-12.8869376919
90,0.177680627253,-11.2718620278,90,0.171570558601,-12.9260120874
91,0.17997668884,-11.2877449857,91,0.174034711828,-12.9481033786
92,0.1821307959,-11.322733466,92,0.176498865054,-12.9548001255
93,0.18428490296,-11.3778773769,93,0.178963018281,-12.9483417036
94,0.18643901002,-11.4525872976,94,0.181440137581,-12.9314120836
95,0.18859311708,-11.5450796471,95,0.183917256881,-12.9072764595
96,0.19074722414,-11.6525564384,96,0.186394376181,-12.8794386593
97,0.193229579396,-11.7903371948,97,0.188871495481,-12.8514128473
98,0.195711934651,-11.9371171978,98,0.191348614781,-12.8264626831
99,0.198194289907,-12.0864962024,99,0.193825734081,-12.807332269
100,0.200676645163,-12.2323246068,100,0.196302853381,-12.7960009739
101,0.203047179462,-12.3631671661,101,0.198779972681,-12.7934978214
102,0.205417713761,-12.4815981849,102,0.200676007801,-12.7975746985
103,0.20778824806,-12.5842955989,103,0.20257204292,-12.8064143794
104,0.210158782359,-12.6687665141,104,0.204468078039,-12.8192675804
105,0.212529316658,-12.7333452359,105,0.206364113159,-12.8351041576
106,0.214656602666,-12.7736380678,106,0.206364113159,-12.8351041576
107,0.216783888675,-12.79711882,107,0.207832292593,-12.8486291652
108,0.218911174683,-12.8041818174,108,0.209300472027,-12.8625532309
109,0.221038460692,-12.7956868118,109,0.211435412521,-12.8821208114
110,0.2231657467,-12.7729393322,110,0.213570353014,-12.898996883
111,0.225293032709,-12.7376671684,111,0.215705293508,-12.9111559304
112,0.227779151286,-12.6834292833,112,0.217840234002,-12.9167660808
113,0.230265269863,-12.6189663666,113,0.22030537483,-12.913102364
114,0.23275138844,-12.5487569788,114,0.222770515658,-12.8969298039
115,0.235237507017,-12.4775887872,115,0.225235656486,-12.8673065774
116,0.237723625594,-12.4103014882,116,0.227700797315,-12.8241874566
117,0.240209744172,-12.3514781373,117,0.230098819447,-12.7701593528
118,0.242606501665,-12.3065234596,118,0.232496841579,-12.7059742307
119,0.245003259159,-12.2759313519,119,0.234894863712,-12.6342626991
120,0.247400016653,-12.2614843874,120,0.237292885844,-12.5584754257
121,0.249796774147,-12.2638439288,121,0.23968825017,-12.4828362714
122,0.252193531641,-12.2825392817,122,0.242083614497,-12.4118672877
123,0.254670366375,-12.3174223869,123,0.244478978823,-12.3503466231
124,0.257147201109,-12.365564581,124,0.24687434315,-12.3028407014
125,0.259624035843,-12.4237467327,125,0.249081945715,-12.2748639769
126,0.262100870577,-12.4884412198,126,0.25128954828,-12.264395447
127,0.264577705311,-12.5561208169,127,0.253497150846,-12.2726769852
128,0.266828950929,-12.617466877,128,0.255704753411,-12.2997711296
129,0.269080196547,-12.6764311987,129,0.258077838236,-12.3485258472
130,0.271331442164,-12.7312547581,130,0.260450923062,-12.4147515855
131,0.273582687782,-12.7806006579,131,0.262824007888,-12.4942721274
132,0.2758339334,-12.8235648288,132,0.265197092713,-12.5820074972
133,0.278085179018,-12.8596629655,133,0.267502359862,-12.6698035349
134,0.280336424635,-12.8887991899,134,0.26980762701,-12.7548275535
135,0.282576079017,-12.9111219197,135,0.272112894159,-12.8319666649
136,0.284815733399,-12.9273257019,136,0.274418161308,-12.8964377038
137,0.287055387781,-12.9381586383,137,0.276723428456,-12.9439087269
138,0.289295042163,-12.9445246919,138,0.279144075736,-12.9712885109
139,0.291534696545,-12.9474161604,139,0.281564723016,-12.9719380494
140,0.293774350927,-12.9478468381,140,0.283985370296,-12.942722993
141,0.296014005309,-12.9467889397,141,0.286406017576,-12.8811403043
142,0.298257597539,-12.9451140478,142,0.288826664857,-12.7853071513
143,0.300501189769,-12.9435579484,143,0.291200463182,-12.6568541923
144,0.302744781999,-12.9426782981,144,0.293574261507,-12.4937041202
145,0.304988374229,-12.9428376535,145,0.295948059832,-12.2960104188
146,0.307231966459,-12.9442015769,146,0.298321858157,-12.064769846
147,0.309475558688,-12.9467519901,147,0.300695656482,-11.8020250681
148,0.311719150918,-12.9503137683,148,0.302829140951,-11.5417391248
149,0.313962743148,-12.9545914567,149,0.30496262542,-11.2622823584
150,0.316206335378,-12.9592122822,150,0.30709610989,-10.9685599061
151,0.318652527827,-12.9641662604,151,0.309542731958,-10.6225952123
152,0.321098720276,-12.9685403125,152,0.311989354027,-10.2790091495
153,0.323544912725,-12.971902456,153,0.314435976096,-9.95342042123
154,0.325991105174,-12.9739412709,154,0.31633132661,-9.72500210632
155,0.328437297624,-12.974495652,155,0.318226677125,-9.52710665179
156,0.330883490073,-12.973567218,156,0.32012202764,-9.36831525404
157,0.333329682522,-12.9713155569,157,0.322017378154,-9.25604176627
158,0.335775874971,-12.9680378126,158,0.324212589902,-9.19106120029
159,0.33817011852,-12.9642215048,159,0.32640780165,-9.19920343958
160,0.340564362069,-12.960239929,160,0.328603013398,-9.27849723753
161,0.342958605618,-12.9565396475,161,0.330847341928,-9.4256691045
162,0.345352849167,-12.9535366499,162,0.333091670458,-9.62804861421
163,0.347747092716,-12.9515763853,163,0.335335998987,-9.87183094608
164,0.350141336265,-12.9509012561,164,0.337436596844,-10.1250685504
165,0.352535579814,-12.9516286492,165,0.3395371947,-10.3916958391
166,0.354929823363,-12.953741497,166,0.341637792557,-10.6625927922
167,0.357324066912,-12.9570920329,167,0.343738390413,-10.9303163627
168,0.359630614175,-12.96124619,168,0.345867540848,-11.1925018229
169,0.361937161438,-12.9659940867,169,0.347996691283,-11.4409832395
170,0.364243708701,-12.9709763066,170,0.350125841718,-11.6725943801
171,0.366550255964,-12.9758176455,171,0.352254992153,-11.8852519237
172,0.368856803227,-12.9801590758,172,0.354555068213,-12.0922956153
173,0.371163350489,-12.9836873849,173,0.356855144273,-12.2751610783
174,0.373469897752,-12.9861601478,174,0.359155220333,-12.433914378
175,0.375776445015,-12.9874242146,175,0.361455296393,-12.5691714258
176,0.378082992278,-12.9874264898,176,0.363755372453,-12.681973499
177,0.380389539541,-12.9862164015,177,0.36607203395,-12.7742824049
178,0.382677315472,-12.9839623383,178,0.368388695448,-12.846874721
179,0.384965091404,-12.9808826975,179,0.370705356946,-12.9016299938
180,0.387252867335,-12.9772622143,180,0.373022018444,-12.9405874693
181,0.389540643266,-12.9734228899,181,0.375338679942,-12.9659000876
182,0.391828419197,-12.9696971978,182,0.37765534144,-12.9797884651
183,0.394116195129,-12.9664006403,183,0.379972002938,-12.9844923384
184,0.39640397106,-12.9638059197,184,0.382288664436,-12.9822182707
185,0.398691746991,-12.9621209049,185,0.384792905832,-12.9743545181
186,0.400979522923,-12.9614722814,186,0.387297147227,-12.963287633
187,0.403267298854,-12.9618962837,187,0.389801388623,-12.9512120589
188,0.405555074785,-12.9633372674,188,0.392305630019,-12.9399623313
189,0.408004229141,-12.9658454706,189,0.394809871414,-12.9309527022
190,0.410453383497,-12.9690929878,190,0.39731411281,-12.9251389246
191,0.412902537853,-12.972749631,191,0.399818354206,-12.9230071506
192,0.415351692209,-12.9764518026,192,0.402055038448,-12.9242534166
193,0.417800846564,-12.9798381721,193,0.40429172269,-12.9282186963
194,0.42025000092,-12.9825842875,194,0.406528406932,-12.9344318037
195,0.422699155276,-12.9844329337,195,0.408765091175,-12.9422493148
196,0.425148309632,-12.9852175906,196,0.411001775417,-12.9509083903
197,0.427597463988,-12.9848770632,197,0.413238459659,-12.9595811911
198,0.430046618344,-12.9834601657,198,0.415475143901,-12.9674276485
199,0.4324957727,-12.981120192,199,0.417711828144,-12.9736439843
200,0.434931706035,-12.9781173494,200,0.420212901819,-12.9777760118
201,0.43736763937,-12.9747447137,201,0.422713975495,-12.9781235763
202,0.439803572706,-12.9713413606,202,0.42521504917,-12.9740690415
203,0.442239506041,-12.9682498283,203,0.427716122846,-12.9652519666
204,0.444675439377,-12.9657834876,204,0.430217196521,-12.9515869161
205,0.447111372712,-12.9641965739,205,0.432718270197,-12.933267652
206,0.449547306048,-12.9636598014,206,0.435219343872,-12.9107585205
207,0.451983239383,-12.9642439813,207,0.437720417548,-12.8847737176
208,0.454419172718,-12.9659132888,208,0.439976269883,-12.8591247533
209,0.456855106054,-12.9685288318,209,0.442232122217,-12.8322112554
210,0.459291039389,-12.971862103,210,0.444487974552,-12.8049246779
211,0.461676513561,-12.9755370468,211,0.446743826887,-12.7782047582
212,0.464061987733,-12.9793010715,212,0.448999679221,-12.7530000651
213,0.466447461905,-12.9828308554,213,0.451255531556,-12.7302266039
214,0.468832936077,-12.985823835,214,0.45351138389,-12.7107264015
215,0.471218410249,-12.9880248593,215,0.455767236225,-12.6952283162
