id,COUNTRY,YEAR,WEEK,Week_Sus_Cases,Incidence_sus_cases,Cum_sus_cases,Week_conf_cases,Incidence_conf_cases,Cum_conf_cases,Week_import_cases,Cum_import_cases,Week_deaths,Cum_deaths,Population,Source,
679,Argentina,2014,3,0,0,0,0,0,0,0,0,0,0,42669000,PAHO,
680,Anguilla,2014,3,0,0,0,0,0,0,0,0,0,0,16000,PAHO,
681,Antigua and Barbuda,2014,3,0,0,0,0,0,0,0,0,0,0,90000,PAHO,
682,Aruba,2014,3,0,0,0,0,0,0,0,0,0,0,109000,PAHO,
683,Bahamas,2014,3,0,0,0,0,0,0,0,0,0,0,377000,PAHO,
684,Barbados,2014,3,0,0,0,0,0,0,0,0,0,0,289000,PAHO,
685,Cayman Islands,2014,3,0,0,0,0,0,0,0,0,0,0,54000,PAHO,
686,Curacao,2014,3,0,0,0,0,0,0,0,0,0,0,147000,PAHO,
687,Dominica,2014,3,0,0,0,0,0,0,1,1,0,0,73000,PAHO,
688,Grenada,2014,3,0,0,0,0,0,0,0,0,0,0,110000,PAHO,
689,Guyana,2014,3,0,0,0,0,0,0,0,0,0,0,800000,PAHO,
690,Jamaica,2014,3,0,0,0,0,0,0,0,0,0,0,2784000,PAHO,
691,Montserrat,2014,3,0,0,0,0,0,0,0,0,0,0,5000,PAHO,
692,Saint Kitts and Nevis,2014,3,0,0,0,0,0,0,0,0,0,0,51000,PAHO,
693,Saint Lucia,2014,3,0,0,0,0,0,0,0,0,0,0,163000,PAHO,
694,Saint Vincent and the Grenadines,2014,3,0,0,0,0,0,0,0,0,0,0,103000,PAHO,
695,Sint Maarten,2014,3,0,0,0,8,20,9,0,0,0,0,40000,PAHO,
696,Suriname,2014,3,0,0,0,0,0,0,0,0,0,0,539000,PAHO,
697,Trinidad and Tobago,2014,3,0,0,0,0,0,0,0,0,0,0,1341000,PAHO,
698,Turks and Caicos Islands,2014,3,0,0,0,0,0,0,0,0,0,0,48000,PAHO,
699,"Virgin Islands, U.S.",2014,3,0,0,0,0,0,0,0,0,0,0,105000,PAHO
700,British Virgin Islands,2014,3,0,0,0,3,9375,3,0,0,0,0,32000,PAHO,
701,Bermuda,2014,4,0,0,0,0,0,0,0,0,0,0,69000,PAHO,
702,Canada,2014,4,0,0,0,0,0,0,0,0,0,0,35182000,PAHO,
703,Mexico,2014,4,0,0,0,0,0,0,0,0,0,0,118129000,PAHO,
704,United States,2014,4,0,0,0,0,0,0,0,0,0,0,320051000,PAHO,
705,Belize,2014,4,0,0,0,0,0,0,0,0,0,0,322000,PAHO,
706,Costa Rica,2014,4,0,0,0,0,0,0,0,0,0,0,4872000,PAHO,
707,El Salvador,2014,4,0,0,0,0,0,0,0,0,0,0,6340000,PAHO,
708,Guatemala,2014,4,0,0,0,0,0,0,0,0,0,0,15468000,PAHO,
709,Honduras,2014,4,0,0,0,0,0,0,0,0,0,0,8098000,PAHO,
710,Nicaragua,2014,4,0,0,0,0,0,0,0,0,0,0,6080000,PAHO,
711,Panama,2014,4,0,0,0,0,0,0,0,0,0,0,3864000,PAHO,
712,Cuba,2014,4,0,0,0,0,0,0,0,0,0,0,11266000,PAHO,
713,Dominican Republic,2014,4,0,0,0,0,0,0,0,0,0,0,10404000,PAHO,
714,French Guiana,2014,4,0,0,0,0,0,0,1,2,0,0,249000,PAHO,
715,Guadeloupe,2014,4,0,0,0,39,8.3691,65,2,3,0,0,466000,PAHO,
716,Haiti,2014,4,0,0,0,0,0,0,0,0,0,0,10317000,PAHO,
717,Martinique,2014,4,0,0,0,140,34.6535,267,0,0,0,0,404000,PAHO,
718,Puerto Rico,2014,4,0,0,0,0,0,0,0,0,0,0,3688000,PAHO,
